服务器,设备类型,设备,R/W,变量名,描述,变量类型,禁用,绑定行为,刷新率,备注
,AutoDoor,AD02,W,DB323.DBX0.5,故障复位,BOOL,,W06,100,
,AutoDoor,AD02,W,DB323.DBX0.6,上位触发开门,BOOL,,W07,100,
,AutoDoor,AD02,W,DB323.DBX0.7,上位触发关门,BOOL,,W08,100,
,AutoDoor,AD02,W,DB323.DBX1.0,初始化回原点按钮,BOOL,,W09,100,
,AutoDoor,AD02,W,DB323.DBX1.1,自动/手动模式,BOOL,,W10,100,
192.168.127.30,AutoDoor,AD03,R,DB324.DBX0.1,上电完成,BOOL,,R00,100,
,AutoDoor,AD03,R,DB324.DBX0.2,系统开机状态,BOOL,,R01,100,
,AutoDoor,AD03,R,DB324.DBX0.3,系统自动运行状态,BOOL,,R02,100,
,AutoDoor,AD03,R,DB324.DBX0.4,门关闭状态,BOOL,,R03,100,
,AutoDoor,AD03,R,DB324.DBX0.5,门开启状态,BOOL,,R04,100,
,AutoDoor,AD03,R,DB324.DBX0.6,开门中,BOOL,,R05,100,
,AutoDoor,AD03,R,DB324.DBX0.7,关门中,BOOL,,R06,100,
,AutoDoor,AD03,R,DB324.DBX1.0,开门完成,BOOL,,R07,100,
,AutoDoor,AD03,R,DB324.DBX1.1,关门完成,BOOL,,R08,100,
,AutoDoor,AD03,R,DB324.DBX1.2,Auto Door 故障报错状态,BOOL,,R09,100,
,AutoDoor,AD03,R,DB324.DBX1.3,初始化回原点中,BOOL,,R10,100,
,AutoDoor,AD03,R,DB324.DBX1.4,初始化回原点完成,BOOL,,R11,100,
,AutoDoor,AD03,R,DB324.DBX1.5,故障复位返回信号,BOOL,,R12,100,
,AutoDoor,AD03,R,DB324.DBX1.6,紧急停止返回信号,BOOL,,R13,100,
,AutoDoor,AD03,R,DB324.DBX0.0,自动/手动模式返回信号,BOOL,,R14,100,
,AutoDoor,AD03,W,DB325.DBX0.0,启动运行,BOOL,,W01,100,
,AutoDoor,AD03,W,DB325.DBX0.1,停止运行,BOOL,,W02,100,
,AutoDoor,AD03,W,DB325.DBX0.2,开门按钮,BOOL,,W03,100,
,AutoDoor,AD03,W,DB325.DBX0.3,关门按钮,BOOL,,W04,100,
,AutoDoor,AD03,W,DB325.DBX0.4,紧急停止按钮,BOOL,,W05,100,
,AutoDoor,AD03,W,DB325.DBX0.5,故障复位,BOOL,,W06,100,
,AutoDoor,AD03,W,DB325.DBX0.6,上位触发开门,BOOL,,W07,100,
,AutoDoor,AD03,W,DB325.DBX0.7,上位触发关门,BOOL,,W08,100,
,AutoDoor,AD03,W,DB325.DBX1.0,初始化回原点按钮,BOOL,,W09,100,
,AutoDoor,AD03,W,DB325.DBX1.1,自动/手动模式,BOOL,,W10,100,
192.168.127.30,AutoDoor,AD04,R,DB326.DBX0.1,上电完成,BOOL,,R00,100,
,AutoDoor,AD04,R,DB326.DBX0.2,系统开机状态,BOOL,,R01,100,
,AutoDoor,AD04,R,DB326.DBX0.3,系统自动运行状态,BOOL,,R02,100,
,AutoDoor,AD04,R,DB326.DBX0.4,门关闭状态,BOOL,,R03,100,
,AutoDoor,AD04,R,DB326.DBX0.5,门开启状态,BOOL,,R04,100,
,AutoDoor,AD04,R,DB326.DBX0.6,开门中,BOOL,,R05,100,
,AutoDoor,AD04,R,DB326.DBX0.7,关门中,BOOL,,R06,100,
,AutoDoor,AD04,R,DB326.DBX1.0,开门完成,BOOL,,R07,100,
,AutoDoor,AD04,R,DB326.DBX1.1,关门完成,BOOL,,R08,100,
,AutoDoor,AD04,R,DB326.DBX1.2,Auto Door 故障报错状态,BOOL,,R09,100,
,AutoDoor,AD04,R,DB326.DBX1.3,初始化回原点中,BOOL,,R10,100,
,AutoDoor,AD04,R,DB326.DBX1.4,初始化回原点完成,BOOL,,R11,100,
,AutoDoor,AD04,R,DB326.DBX1.5,故障复位返回信号,BOOL,,R12,100,
,AutoDoor,AD04,R,DB326.DBX1.6,紧急停止返回信号,BOOL,,R13,100,
,AutoDoor,AD04,R,DB326.DBX0.0,自动/手动模式返回信号,BOOL,,R14,100,
,AutoDoor,AD04,W,DB327.DBX0.0,启动运行,BOOL,,W01,100,
,AutoDoor,AD04,W,DB327.DBX0.1,停止运行,BOOL,,W02,100,
,AutoDoor,AD04,W,DB327.DBX0.2,开门按钮,BOOL,,W03,100,
,AutoDoor,AD04,W,DB327.DBX0.3,关门按钮,BOOL,,W04,100,
,AutoDoor,AD04,W,DB327.DBX0.4,紧急停止按钮,BOOL,,W05,100,
,AutoDoor,AD04,W,DB327.DBX0.5,故障复位,BOOL,,W06,100,
,AutoDoor,AD04,W,DB327.DBX0.6,上位触发开门,BOOL,,W07,100,
,AutoDoor,AD04,W,DB327.DBX0.7,上位触发关门,BOOL,,W08,100,
,AutoDoor,AD04,W,DB327.DBX1.0,初始化回原点按钮,BOOL,,W09,100,
,AutoDoor,AD04,W,DB327.DBX1.1,自动/手动模式,BOOL,,W10,100,
192.168.127.30,AutoDoor,AD05,R,DB328.DBX0.1,上电完成,BOOL,,R00,100,
,AutoDoor,AD05,R,DB328.DBX0.2,系统开机状态,BOOL,,R01,100,
,AutoDoor,AD05,R,DB328.DBX0.3,系统自动运行状态,BOOL,,R02,100,
,AutoDoor,AD05,R,DB328.DBX0.4,门关闭状态,BOOL,,R03,100,
,AutoDoor,AD05,R,DB328.DBX0.5,门开启状态,BOOL,,R04,100,
,AutoDoor,AD05,R,DB328.DBX0.6,开门中,BOOL,,R05,100,
,AutoDoor,AD05,R,DB328.DBX0.7,关门中,BOOL,,R06,100,
,AutoDoor,AD05,R,DB328.DBX1.0,开门完成,BOOL,,R07,100,
,AutoDoor,AD05,R,DB328.DBX1.1,关门完成,BOOL,,R08,100,
,AutoDoor,AD05,R,DB328.DBX1.2,Auto Door 故障报错状态,BOOL,,R09,100,
,AutoDoor,AD05,R,DB328.DBX1.3,初始化回原点中,BOOL,,R10,100,
,AutoDoor,AD05,R,DB328.DBX1.4,初始化回原点完成,BOOL,,R11,100,
,AutoDoor,AD05,R,DB328.DBX1.5,故障复位返回信号,BOOL,,R12,100,
,AutoDoor,AD05,R,DB328.DBX1.6,紧急停止返回信号,BOOL,,R13,100,
,AutoDoor,AD05,R,DB328.DBX0.0,自动/手动模式返回信号,BOOL,,R14,100,
,AutoDoor,AD05,W,DB329.DBX0.0,启动运行,BOOL,,W01,100,
,AutoDoor,AD05,W,DB329.DBX0.1,停止运行,BOOL,,W02,100,
,AutoDoor,AD05,W,DB329.DBX0.2,开门按钮,BOOL,,W03,100,
,AutoDoor,AD05,W,DB329.DBX0.3,关门按钮,BOOL,,W04,100,
,AutoDoor,AD05,W,DB329.DBX0.4,紧急停止按钮,BOOL,,W05,100,
,AutoDoor,AD05,W,DB329.DBX0.5,故障复位,BOOL,,W06,100,
,AutoDoor,AD05,W,DB329.DBX0.6,上位触发开门,BOOL,,W07,100,
,AutoDoor,AD05,W,DB329.DBX0.7,上位触发关门,BOOL,,W08,100,
,AutoDoor,AD05,W,DB329.DBX1.0,初始化回原点按钮,BOOL,,W09,100,
,AutoDoor,AD05,W,DB329.DBX1.1,自动/手动模式,BOOL,,W10,100,
192.168.127.30,FireDoor,FD01,R,DB420.DBX0.1,上电完成,BOOL,,R00,100,
,FireDoor,FD01,R,DB420.DBX0.2,系统开机状态,BOOL,,R01,100,
,FireDoor,FD01,R,DB420.DBX0.3,系统自动运行状态,BOOL,,R02,100,
,FireDoor,FD01,R,DB420.DBX0.4,门关闭状态,BOOL,,R03,100,
,FireDoor,FD01,R,DB420.DBX0.5,门开启状态,BOOL,,R04,100,
,FireDoor,FD01,R,DB420.DBX0.6,开门中,BOOL,,R05,100,
,FireDoor,FD01,R,DB420.DBX0.7,关门中,BOOL,,R06,100,
,FireDoor,FD01,R,DB420.DBX1.0,开门完成,BOOL,,R07,100,
,FireDoor,FD01,R,DB420.DBX1.1,关门完成,BOOL,,R08,100,
,FireDoor,FD01,R,DB420.DBX1.2,Auto Door 故障报错状态,BOOL,,R09,100,
,FireDoor,FD01,R,DB420.DBX1.3,初始化回原点中,BOOL,,R10,100,
,FireDoor,FD01,R,DB420.DBX1.4,初始化回原点完成,BOOL,,R11,100,
,FireDoor,FD01,W,DB421.DBX0.0,启动运行,BOOL,,W01,100,
,FireDoor,FD01,W,DB421.DBX0.1,停止运行,BOOL,,W02,100,
,FireDoor,FD01,W,DB421.DBX0.2,开门按钮,BOOL,,W03,100,
,FireDoor,FD01,W,DB421.DBX0.3,关门按钮,BOOL,,W04,100,
,FireDoor,FD01,W,DB421.DBX0.4,紧急停止按钮,BOOL,,W05,100,
,FireDoor,FD01,W,DB421.DBX0.5,故障复位,BOOL,,W06,100,
,FireDoor,FD01,W,DB421.DBX0.6,上位触发开门,BOOL,,W07,100,
,FireDoor,FD01,W,DB421.DBX0.7,上位触发关门,BOOL,,W08,100,
,FireDoor,FD01,W,DB421.DBX1.0,初始化回原点按钮,BOOL,,W09,100,
,FireDoor,FD01,W,DB421.DBX1.1,自动/手动模式,BOOL,,W10,100,
192.168.127.30,Hid,HID01,R,DB300.DBX0.0,PSP待机状态,BOOL,,R01,100,
,Hid,HID01,R,DB300.DBX0.1,PSP停止状态信号,BOOL,,R02,100,
,Hid,HID01,R,DB300.DBX0.2,PSP运行状态信号,BOOL,,R03,100,
,Hid,HID01,R,DB300.DBX0.3,PSP温度异常过高,BOOL,,R04,100,
,Hid,HID01,R,DB300.DBX0.4,PSP温度正常,BOOL,,R05,100,
,Hid,HID01,R,DB300.DBX0.5,电柜失电状态信号,BOOL,,R06,100,
,Hid,HID01,R,DB300.DBX0.6,电柜送电状态信号,BOOL,,R07,100,
,Hid,HID01,R,DB300.DBX0.7,PSP故障报警状态,BOOL,,R08,100,
,Hid,HID01,R,DB300.DBX1.0,PSP上电完成,BOOL,,R00,100,
,Hid,HID01,R,DB300.DBX1.1,火警信号,BOOL,,R10,100,
,Hid,HID01,R,DB300.DBX1.2,紧急停止返回信号,BOOL,,R11,100,
,Hid,HID01,R,DB300.DBX2.0,电柜当前温度值,REAL,,R09,100,
,Hid,HID01,W,DB301.DBX0.0,启动PSP运行,BOOL,,W01,100,
,Hid,HID01,W,DB301.DBX0.1,停止PSP运行,BOOL,,W02,100,
,Hid,HID01,W,DB301.DBX0.2,故障报警复位PSP运行,BOOL,,W03,100,
,Hid,HID01,W,DB301.DBX0.3,PSP紧急停止,BOOL,,W04,100,
,Hid,HID01,W,DB301.DBX0.4,火灾报警关闭PSP电源,BOOL,,W05,100,
192.168.127.30,Hid,HID02,R,DB310.DBX0.0,PSP待机状态,BOOL,,R01,100,
,Hid,HID02,R,DB310.DBX0.1,PSP停止状态信号,BOOL,,R02,100,
,Hid,HID02,R,DB310.DBX0.2,PSP运行状态信号,BOOL,,R03,100,
,Hid,HID02,R,DB310.DBX0.3,PSP温度异常过高,BOOL,,R04,100,
,Hid,HID02,R,DB310.DBX0.4,PSP温度正常,BOOL,,R05,100,
,Hid,HID02,R,DB310.DBX0.5,电柜失电状态信号,BOOL,,R06,100,
,Hid,HID02,R,DB310.DBX0.6,电柜送电状态信号,BOOL,,R07,100,
,Hid,HID02,R,DB310.DBX0.7,PSP故障报警状态,BOOL,,R08,100,
,Hid,HID02,R,DB310.DBX1.0,PSP上电完成,BOOL,,R00,100,
,Hid,HID02,R,DB310.DBX1.1,火警信号,BOOL,,R10,100,
,Hid,HID02,R,DB310.DBX1.2,紧急停止返回信号,BOOL,,R11,100,
,Hid,HID02,R,DB310.DBX2.0,电柜当前温度值,REAL,,R09,100,
,Hid,HID02,W,DB311.DBX0.0,启动PSP运行,BOOL,,W01,100,
,Hid,HID02,W,DB311.DBX0.1,停止PSP运行,BOOL,,W02,100,
,Hid,HID02,W,DB311.DBX0.2,故障报警复位PSP运行,BOOL,,W03,100,
,Hid,HID02,W,DB311.DBX0.3,PSP紧急停止,BOOL,,W04,100,
,Hid,HID02,W,DB311.DBX0.4,火灾报警关闭PSP电源,BOOL,,W05,100,
